name,number,product_url,thumb_url,hover_url,description
Borrowed Light,235,https://www.farrow-ball.com/paint/borrowed-light,https://www.farrow-ball.com/media/catalog/product/b/o/borrowed_light_no._235_-_swirl.jpg?optimize=low&fit=bounds&height=370&width=370&canvas=370:370,"https://www.farrow-ball.com/media/catalog/product/p/a/paint_borrowedlight235_hover.jpg?width=350&height=350&canvas=350,350&optimize=low&fit=bounds?h=350&w=350&mode=crop",Borrowed Light is a wonderfully pale blue named after the delicate light that cascades through small windows and fanlights. Available in-store and online.
Bothy Blue,,https://www.farrow-ball.com/paint/bothy-blue,https://www.farrow-ball.com/media/catalog/product/b/o/bothy_blue_no._g11_-_swirl.jpg?optimize=low&fit=bounds&height=370&width=370&canvas=370:370,"https://www.farrow-ball.com/media/catalog/product/f/r/fromgrittopearl_bothy_blue.jpg?width=350&height=350&canvas=350,350&optimize=low&fit=bounds?h=350&w=350&mode=crop",Bothy Blue is a vibrant ultramarine and has an inherently happy feel and is a brilliant wall colour for family rooms. Available in-store and online.
Brassica,271,https://www.farrow-ball.com/paint/brassica,https://www.farrow-ball.com/media/catalog/product/b/r/brassica_no._271_-_swirl.jpg?optimize=low&fit=bounds&height=370&width=370&canvas=370:370,"https://www.farrow-ball.com/media/catalog/product/p/a/paint_brassica271_hover.jpg?width=350&height=350&canvas=350,350&optimize=low&fit=bounds?h=350&w=350&mode=crop","Brassica’s rich lavender tones feel charming in light areas, but become sophisticated and grey in darker areas. Available in-store and online."
Breakfast Room Green,81,https://www.farrow-ball.com/paint/breakfast-room-green,https://www.farrow-ball.com/media/catalog/product/b/r/breakfast_room_green_no._81_-_swirl.jpg?optimize=low&fit=bounds&height=370&width=370&canvas=370:370,"https://www.farrow-ball.com/media/catalog/product/p/a/paint_breakfastroomgreen81_hover.jpg?width=350&height=350&canvas=350,350&optimize=low&fit=bounds?h=350&w=350&mode=crop","Breakfast Room Green is the most cheerful of all our greens, remaining lively in both bright sunlight or candlelight. Available in-store and online."
Brinjal,222,https://www.farrow-ball.com/paint/brinjal,https://www.farrow-ball.com/media/catalog/product/b/r/brinjal_no._222_-_swirl.jpg?optimize=low&fit=bounds&height=370&width=370&canvas=370:370,"https://www.farrow-ball.com/media/catalog/product/p/a/paint_brinjal222_hover.jpg?width=350&height=350&canvas=350,350&optimize=low&fit=bounds?h=350&w=350&mode=crop","Brinjal takes its name from the beautifully deep and shiny skin of the aubergine, to create a sophisticated finish. Available in-store and online."
Broccoli Brown,198,https://www.farrow-ball.com/paint/broccoli-brown,https://www.farrow-ball.com/media/catalog/product/b/r/broccoli_brown_no._w108_-_swirl.jpg?optimize=low&fit=bounds&height=370&width=370&canvas=370:370,"https://www.farrow-ball.com/media/catalog/product/e/n/eng_rollover_broccoli_brown_returning_archive.jpg?width=350&height=350&canvas=350,350&optimize=low&fit=bounds?h=350&w=350&mode=crop","A dark, quiet colour that pairs perfectly with natural materials like wood or flagstone. Reserved and comforting. Available in-store and online."
Buff,20,https://www.farrow-ball.com/paint/buff,https://www.farrow-ball.com/media/catalog/product/b/u/buff_no._20_-_swirl.jpg?optimize=low&fit=bounds&height=370&width=370&canvas=370:370,"https://www.farrow-ball.com/media/catalog/product/p/a/paint_buff20_hover_1.jpg?width=350&height=350&canvas=350,350&optimize=low&fit=bounds?h=350&w=350&mode=crop",Buff is a timeless sandy neutral with an underlying warmth that suits all kinds of traditional paint colour schemes. Available in-store and online.
Butterweed,9802,https://www.farrow-ball.com/paint/butterweed,https://www.farrow-ball.com/media/catalog/product/b/u/butterweed_no._9802_-_swirl.jpg?optimize=low&fit=bounds&height=370&width=370&canvas=370:370,"https://www.farrow-ball.com/media/catalog/product/b/u/butterweed_no._9802_-_swirl.jpg?width=350&height=350&canvas=350,350&optimize=low&fit=bounds?h=350&w=350&mode=crop",Butterweed is a clear and lively yellow that mimics the cheerfful petal colour of the plant from whihch it takes it's name. Available in-store and online.
Cabbage White,269,https://www.farrow-ball.com/paint/cabbage-white,https://www.farrow-ball.com/media/catalog/product/c/a/cabbage_white_no._269_-_swirl.jpg?optimize=low&fit=bounds&height=370&width=370&canvas=370:370,"https://www.farrow-ball.com/media/catalog/product/p/a/paint_cabbagewhite269_hover.jpg?width=350&height=350&canvas=350,350&optimize=low&fit=bounds?h=350&w=350&mode=crop",Cabbage White is perfect for rooms that go up into the eaves where you want to use just one colour on both walls and ceiling. Available in-store and online
Calamine,230,https://www.farrow-ball.com/paint/calamine,https://www.farrow-ball.com/media/catalog/product/c/a/calamine_no._230_-_swirl_3_1.jpg?optimize=low&fit=bounds&height=370&width=370&canvas=370:370,"https://www.farrow-ball.com/media/catalog/product/p/a/paint_calamine230_hover.jpg?width=350&height=350&canvas=350,350&optimize=low&fit=bounds?h=350&w=350&mode=crop","Calamine has a light touch of grey preventing this subtle pink from being too sugary, giving a much fresher finish. Available in-store and online."
Calke Green,34,https://www.farrow-ball.com/paint/calke-green,https://www.farrow-ball.com/media/catalog/product/c/a/calke_green_no._34_-_swirl.jpg?optimize=low&fit=bounds&height=370&width=370&canvas=370:370,"https://www.farrow-ball.com/media/catalog/product/p/a/paint_calkegreen34_hover.jpg?width=350&height=350&canvas=350,350&optimize=low&fit=bounds?h=350&w=350&mode=crop",Calke Green is a rich and traditional sage green colour originally found in the breakfast room at Calke Abbey. Available in-store and online.
Calluna,270,https://www.farrow-ball.com/paint/calluna,https://www.farrow-ball.com/media/catalog/product/c/a/calluna_no._270_-_swirl_1_.jpg?optimize=low&fit=bounds&height=370&width=370&canvas=370:370,"https://www.farrow-ball.com/media/catalog/product/p/a/paint_calluna270_hover.jpg?width=350&height=350&canvas=350,350&optimize=low&fit=bounds?h=350&w=350&mode=crop",Calluna is a tranquil lilac which takes its name from the beautiful heather so prolific across the moors of Scotland. Available in-store and online.
Cane,53,https://www.farrow-ball.com/paint/cane,https://www.farrow-ball.com/media/catalog/product/c/a/cane_no._53_-_swirl.jpg?optimize=low&fit=bounds&height=370&width=370&canvas=370:370,"https://www.farrow-ball.com/media/catalog/product/p/a/paint_cane53_hover_1.jpg?width=350&height=350&canvas=350,350&optimize=low&fit=bounds?h=350&w=350&mode=crop",Cane is an earth based yellow paint colour that has a wonderfully surprising brightness to it when artificially lit. Available in-store and online.
Card Room Green,79,https://www.farrow-ball.com/paint/card-room-green,https://www.farrow-ball.com/media/catalog/product/c/a/card_room_green_no._79_-_swirl.jpg?optimize=low&fit=bounds&height=370&width=370&canvas=370:370,"https://www.farrow-ball.com/media/catalog/product/p/a/paint_cardroomgreen79_hover.jpg?width=350&height=350&canvas=350,350&optimize=low&fit=bounds?h=350&w=350&mode=crop",Card Room Green is a dark grey green colour named after the study like rooms much favoured in the Victorian period. Available in-store and online.
Cardamom,,https://www.farrow-ball.com/paint/cardamom,https://www.farrow-ball.com/media/catalog/product/c/a/cardamom_no._cb5_-_swirl_1.jpg?optimize=low&fit=bounds&height=370&width=370&canvas=370:370,"https://www.farrow-ball.com/media/catalog/product/p/a/paint_cardamomcb5_hover.jpg?width=350&height=350&canvas=350,350&optimize=low&fit=bounds?h=350&w=350&mode=crop",Cardamon is a rich brown inspired by the versatile spice used in dishes around the world. Exclusively available for the Carte Blanche collection.
Carriage Green,94,https://www.farrow-ball.com/paint/carriage-green,https://www.farrow-ball.com/media/catalog/product/c/a/carriage_green_no._94_-_swirl.jpg?optimize=low&fit=bounds&height=370&width=370&canvas=370:370,"https://www.farrow-ball.com/media/catalog/product/m/a/manoathebeach_carriage_green.jpg?width=350&height=350&canvas=350,350&optimize=low&fit=bounds?h=350&w=350&mode=crop","This intense dark green hue makes a very sophisticated shade for front doors, especially in high-shine Full Gloss. Available in-store and online."
Castle Gray,92,https://www.farrow-ball.com/paint/castle-gray,https://www.farrow-ball.com/media/catalog/product/c/a/castle_gray_no._92_-_swirl.jpg?optimize=low&fit=bounds&height=370&width=370&canvas=370:370,"https://www.farrow-ball.com/media/catalog/product/j/e/jennfeldmandesigns_castle_gray.jpg?width=350&height=350&canvas=350,350&optimize=low&fit=bounds?h=350&w=350&mode=crop","Castle Gray’s first use was on the exterior woodwork of a castle, but it’s a wonderfully versatile shade for all homes. Available in-store & online."
Cats Paw,240,https://www.farrow-ball.com/paint/cats-paw,https://www.farrow-ball.com/media/catalog/product/c/a/cats_paw_no._240_-_swirl.jpg?optimize=low&fit=bounds&height=370&width=370&canvas=370:370,"https://www.farrow-ball.com/media/catalog/product/p/a/paint_catspaw240_hover.jpg?width=350&height=350&canvas=350,350&optimize=low&fit=bounds?h=350&w=350&mode=crop",Cat's Paw is an earthy yellow-toned neutral that is not named after the animal but after a complicated nautical knot. Available in-store and online.
Chappell Green,83,https://www.farrow-ball.com/paint/chappell-green,https://www.farrow-ball.com/media/catalog/product/c/h/chappell_green_no._83_-_swirl.jpg?optimize=low&fit=bounds&height=370&width=370&canvas=370:370,"https://www.farrow-ball.com/media/catalog/product/i/n/inandoutthestablehouse_chappell_green.jpg?width=350&height=350&canvas=350,350&optimize=low&fit=bounds?h=350&w=350&mode=crop",Chappell Green is a subdued blue-green that reads blue when contrasted with warmer tones and green when paired with cooler. Available in-store and online.
Charleston Gray,243,https://www.farrow-ball.com/paint/charleston-gray,https://www.farrow-ball.com/media/catalog/product/c/h/charleston_gray_no._243_-_swirl.jpg?optimize=low&fit=bounds&height=370&width=370&canvas=370:370,"https://www.farrow-ball.com/media/catalog/product/p/a/paint_charlestongray243_hover.jpg?width=350&height=350&canvas=350,350&optimize=low&fit=bounds?h=350&w=350&mode=crop","Charleston Gray is popular for use in modern living rooms, and its brown undertones create a warm, enveloping atmosphere. Available in-store and online."
Charlotte's Locks,268,https://www.farrow-ball.com/paint/charlottes-locks,https://www.farrow-ball.com/media/catalog/product/c/h/charlotte_s_locks_no._268_-_swirl.jpg?optimize=low&fit=bounds&height=370&width=370&canvas=370:370,"https://www.farrow-ball.com/media/catalog/product/p/a/paint_charlotteslocks268_hover.jpg?width=350&height=350&canvas=350,350&optimize=low&fit=bounds?h=350&w=350&mode=crop",Charlotte's Locks takes its inspiration from the flame red hair of our Creative Director and brings a playful late 1970s look. Available in-store & online.
Chemise,216,https://www.farrow-ball.com/paint/chemise,https://www.farrow-ball.com/media/catalog/product/c/h/chemise_no._216_-_swirl.jpg?optimize=low&fit=bounds&height=370&width=370&canvas=370:370,"https://www.farrow-ball.com/media/catalog/product/p/a/paint_chemise216_hover_1.jpg?width=350&height=350&canvas=350,350&optimize=low&fit=bounds?h=350&w=350&mode=crop","Chemise is a stony modern grey that looks equally at home in an airy, industrial space as it does in a historic home. Available in-store and online."
Chine Green,35,https://www.farrow-ball.com/paint/chine-green,https://www.farrow-ball.com/media/catalog/product/c/h/chine_green_no._35_-_swirl.jpg?optimize=low&fit=bounds&height=370&width=370&canvas=370:370,"https://www.farrow-ball.com/media/catalog/product/p/a/paint_chinegreen35_hover_1.jpg?width=350&height=350&canvas=350,350&optimize=low&fit=bounds?h=350&w=350&mode=crop",Chine Green takes its name from coastal gorges that are a common around our home on the south coast of England. Available in-store and online.
Chinese Blue,90,https://www.farrow-ball.com/paint/chinese-blue,https://www.farrow-ball.com/media/catalog/product/c/h/chinese_blue_no._90_-_swirl_1.jpg?optimize=low&fit=bounds&height=370&width=370&canvas=370:370,"https://www.farrow-ball.com/media/catalog/product/p/a/paint_chineseblue90_hover_1.jpg?width=350&height=350&canvas=350,350&optimize=low&fit=bounds?h=350&w=350&mode=crop",Inspired by the blue and white patterned Chinese ceramics displayed in the room for which it was originally mixed. Available in-store and online.
