decor_id,decor_name,decor,texture,product_page_url,image_url
H3325 ST28,Tobacco Gladstone Oak ,H3325,ST28,https://www.egger.com/en/furniture-interior-design/decors/H3325_28,https://cdn.egger.com/img/pim/8854409510942/8854541565982/original.png
H3325 ST28,Tobacco Gladstone Oak ,H3325,ST28,https://www.egger.com/en/furniture-interior-design/decors/H3325_28,https://cdn.egger.com/img/pim/8854409642014/8854541598750/original.png
H3326 ST28,Grey-Beige Gladstone Oak ,H3326,ST28,https://www.egger.com/en/furniture-interior-design/decors/H3326_28,https://cdn.egger.com/img/pim/8854409904158/8854541664286/original.png
H3326 ST28,Grey-Beige Gladstone Oak ,H3326,ST28,https://www.egger.com/en/furniture-interior-design/decors/H3326_28,https://cdn.egger.com/img/pim/8854410035230/8854541697054/original.png
H3326 ST28,Grey-Beige Gladstone Oak ,H3326,ST28,https://www.egger.com/en/furniture-interior-design/decors/H3326_28,https://cdn.egger.com/img/pim/8855068672030/8855068704798/original.png
H3331 ST10,Natural Nebraska Oak ,H3331,ST10,https://www.egger.com/en/furniture-interior-design/decors/H3331_10,https://cdn.egger.com/img/pim/8854411083806/8854541762590/original.png
H3331 ST10,Natural Nebraska Oak ,H3331,ST10,https://www.egger.com/en/furniture-interior-design/decors/H3331_10,https://cdn.egger.com/img/pim/8854411214878/8854541795358/original.png
H3332 ST10,Grey Nebraska Oak ,H3332,ST10,https://www.egger.com/en/furniture-interior-design/decors/H3332_10,https://cdn.egger.com/img/pim/8854411477022/8854541860894/original.png
H3332 ST10,Grey Nebraska Oak ,H3332,ST10,https://www.egger.com/en/furniture-interior-design/decors/H3332_10,https://cdn.egger.com/img/pim/8854411608094/8854541893662/original.png
H3332 ST10,Grey Nebraska Oak ,H3332,ST10,https://www.egger.com/en/furniture-interior-design/decors/H3332_10,https://cdn.egger.com/img/pim/8855068737566/8855068770334/original.png
H3342 TM12,Sepia Gladstone Oak ,H3342,TM12,https://www.egger.com/en/furniture-interior-design/decors/H3342_TM12,https://cdn.egger.com/img/pim/8855294083102/8855443832862/original.png
H3342 TM12,Sepia Gladstone Oak ,H3342,TM12,https://www.egger.com/en/furniture-interior-design/decors/H3342_TM12,https://cdn.egger.com/img/pim/8855294148638/8855443865630/original.png
H3342 TM28,Sepia Gladstone Oak ,H3342,TM28,https://www.egger.com/en/furniture-interior-design/decors/H3342_TM28,https://cdn.egger.com/img/pim/8855168417822/8855443931166/original.png
H3342 TM28,Sepia Gladstone Oak ,H3342,TM28,https://www.egger.com/en/furniture-interior-design/decors/H3342_TM28,https://cdn.egger.com/img/pim/8855168548894/8855443963934/original.png
H3349 ST19,Kaisersberg Oak  ,H3349,ST19,https://www.egger.com/en/furniture-interior-design/decors/H3349_19,https://cdn.egger.com/img/pim/8854412656670/8854542254110/original.png
H3349 ST19,Kaisersberg Oak  ,H3349,ST19,https://www.egger.com/en/furniture-interior-design/decors/H3349_19,https://cdn.egger.com/img/pim/8854412787742/8854542286878/original.png
H3359 ST32,Light Natural Davenport Oak,H3359,ST32,https://www.egger.com/en/furniture-interior-design/decors/H3359_32,https://cdn.egger.com/img/pim/8854542450718/8854542483486/original.png
H3359 ST32,Light Natural Davenport Oak,H3359,ST32,https://www.egger.com/en/furniture-interior-design/decors/H3359_32,https://cdn.egger.com/img/pim/8854542581790/8854542614558/original.png
H3368 ST9,Natural Lancaster Oak ,H3368,ST9,https://www.egger.com/en/furniture-interior-design/decors/H3368_9,https://cdn.egger.com/img/pim/8854413443102/8854542745630/original.png
H3368 ST9,Natural Lancaster Oak ,H3368,ST9,https://www.egger.com/en/furniture-interior-design/decors/H3368_9,https://cdn.egger.com/img/pim/8854413574174/8854542778398/original.png
H3395 ST12,Natural Corbridge Oak ,H3395,ST12,https://www.egger.com/en/furniture-interior-design/decors/H3395_12,https://cdn.egger.com/img/pim/8854413836318/8854542843934/original.png
H3395 ST12,Natural Corbridge Oak ,H3395,ST12,https://www.egger.com/en/furniture-interior-design/decors/H3395_12,https://cdn.egger.com/img/pim/8854413967390/8854542876702/original.png
H3395 ST9,Natural Corbridge Oak ,H3395,ST9,https://www.egger.com/en/furniture-interior-design/decors/H3395_9,https://cdn.egger.com/img/pim/8854414229534/8854542942238/original.png
H3395 ST9,Natural Corbridge Oak ,H3395,ST9,https://www.egger.com/en/furniture-interior-design/decors/H3395_9,https://cdn.egger.com/img/pim/8854414360606/8854542975006/original.png
H3398 ST12,Cognac Kendal Oak ,H3398,ST12,https://www.egger.com/en/furniture-interior-design/decors/H3398_12,https://cdn.egger.com/img/pim/8854414622750/8854543040542/original.png
H3398 ST12,Cognac Kendal Oak ,H3398,ST12,https://www.egger.com/en/furniture-interior-design/decors/H3398_12,https://cdn.egger.com/img/pim/8854414753822/8854543073310/original.png
H3398 ST9,Cognac Kendal Oak ,H3398,ST9,https://www.egger.com/en/furniture-interior-design/decors/H3398_9,https://cdn.egger.com/img/pim/8854415015966/8854543138846/original.png
H3398 ST9,Cognac Kendal Oak ,H3398,ST9,https://www.egger.com/en/furniture-interior-design/decors/H3398_9,https://cdn.egger.com/img/pim/8854415147038/8854543171614/original.png
H3406 ST38,Anthracite Mountain Larch ,H3406,ST38,https://www.egger.com/en/furniture-interior-design/decors/H3406_38,https://cdn.egger.com/img/pim/8854416195614/8854543237150/original.png
H3406 ST38,Anthracite Mountain Larch ,H3406,ST38,https://www.egger.com/en/furniture-interior-design/decors/H3406_38,https://cdn.egger.com/img/pim/8854416326686/8854543269918/original.png
